ID;Nome;Ingredientes
1640;Cornflake Cookies;["Farinha","fermento em pó","bicarbonato de sódio","Vanilla","sal margarina","açúcar branco","açúcar mascavo","ovos","coco","coconut"]
1641;No Fat-No Cholesterol-No Trouble Apple Pie;["Farinha","açúcar","fermento em pó","ovo brancos","maçãs","baunilha","apple torta spice"]
1642;Hot Chicken Salad;["peitos de frango","água","mayonnaise","creme de sopa de galinha","aipo","cebola","flocos de milho","manteiga"]
1643;Vanilla Wafer Cake;["Baunilha wafers","manteiga  pecans","ovos","açúcar","coconut"]
1644;Souped Up Spaghetti;["óleo de salada","cebola","pimenta verde","aipo","carne moída","sal","pimenta","pimenta vermelha","pimentão","tabasco","sopa de cogumelo","sopa de tomate"]
1645;Country Ribs(Very Good);["Carne de porco-estilo-estilo","molho de pimentão","gel�ia de uva","vinho tinto","mostarda"]
1646;Cream Cheese Ball;["Cream Cheese","Cebolas","Pimenta verde","Abacaxi","Nuts"]
1647;Buns;["farinha","açúcar","água morna","óleo","sal","água","açúcar","levedura"]
1648;Gelatin Mold;["gelatina","água fervente","creme azedo","sal","abacaxi"]
1649;No Bake Cookies;["açúcar","margarina","cacau","leite","manteiga de amendoim","baunilha","aveia"]
1650;Shrimp Dip;["Cream Cheese","Mayonnaise","Camar�o","Aipo","cebola"]
1651;Mocha Cookies;["açúcar","Margarina","ovo","farinha","cacau","cristais de caf� instant�neos","fermento em pó","bicarbonato de sódio","sal","caramelo"]
1652;Jello Mold;["laranja gelatina","água fervente","laranja sherbet","laranjas mandarim"]
1653;Hot Sauce;["tomates","pimentas verdes","cebola","sal","pimenta preta","cominho","pimenta de caiena vermelha","alho"]
1654;Mom'S Oatmeal Cookies;["manteiga","açúcar mascavo  açúcar branco","ovos","baunilha","sal","soda","canela","aveia","farinha","Raisins"]
1655;Tortilla Soup;["óleo","ensopado","tomates","Ro-tel tomates","Caldo de carne","Caldo de frango","sopa de tomate","pimentão p�","Molho de Worcestershire","Molho Tabasco","água","Sal","limão","tortillas de farinha","cheddar queijo"]
1656;Layered Salad;["cebola verde","Aipo","castanhas de água","ervilhas congeladas","queijo parmesão","bacon"]
1657;Dumbo'S Double-Thick Chocolate Malted;["Leite","Chocolate Gelo Leite","Chocolate-sabor"]
1658;Buttercream Candy;["manteiga","Leite","açúcar","baunilha","nogueiras"]
1659;Chocolate Chip Cake;["Bolo de chocolate","Pudim instant�neo de chocolate","ovos","Chips Chocolate","água","óleo"]
1660;Kraut Slaw;["Pimenta verde","cebola","Aipo","vinagre","açúcar","pimentos"]
1661;White Chocolate Chip Cookies;["Farinha","bicarbonato de sódio","sal","manteiga sem sal","açúcar mascavo","açúcar","ovos","extrato de baunilha","chocolate branco"]
1662;Chili Sauce;["Tomates","cebolas","pimentas verdes","pimenta vermelha","açúcar","sal","canela  cravo","pleaspice","gengibre","vinagre"]
1663;Sweet And Sour Chicken Wings;["frango","cornstarca","ovos","água","vinagre de ma��","açúcar","ketchup","gel�ia de ma��","molho de soja","suco de limão"]
1664;Lemon Graham Cracker Pie;["Leite","Lemon Jello","água fervente"]
1665;Bacon Wraps;["manteiga","queijo parmesão","bacon"]
1666;Pineapple Sheet Pie;["Farinha","açúcar","ovo","Sal","regular","abacaxi","cream cheese","creme azedo","oleo"]
1667;Grandma'S Moist Chocolate Cake And Frosting;["Farinha","sal","fermento","bicarbonato de sódio","cacau","açúcar","óleo vegetal","ovos","baunilha","Caf�"]
1668;Hot Spiced Cider;["plumageta","canela","cravo","cidra","açúcar mascavo","noz-moscado"]
1669;Fat-Free Cajun French Fries;["batatas","Cajun Tempero","claras","spray de cozimento nonsticking"]
1670;Cranberry Relish;["cranberries","açúcar","suco de laranja","casca de laranja","lemon gelatina","água quente","água fria","nozes","aipo","gelatina","água fria","água quente"]
1671;Fudge Surprise;["açúcar de confeiteiro","cacau","pecans","manteiga","baunilha"]
1672;Chicken Vegetable Casserole;["arroz de frango","Frango","mistura de Calif�rnia","creme de sopa de cogumelos","leite","margarina","CHEDDAR QUEIJO","Cornflakes"]
1673;Salmon Noodle Romanoff;["Salm�o","macarrão de ovo","creme azedo","cogumelos","queijo cottage de estilo creme","cebola verde","dill weed","cheddar queijo"]
1674;Blueberry Muffins;["Farinha","açúcar","fermento","sal","mirtilos","leite","ovo","manteiga"]
1675;Stuffed Mushrooms;["manteiga","migalhas de pão","recipientes de cogumelos","Mozzarella queijo","flocos de salsa","cebola"]
1676;Quick Quiche;["Queijo Cheddar","Mozzarella Cheese","Cebola","ovos","farinha","sal","alho","tomates","queijo parmesão","crostas de torta"]
1677;Championship Chocolate Chip Bars;["farinha","açúcar mascavo","Margarina fria","chips de chocolate","leite condensado","ovo","extrato de baunilha  porcas"]
1678;Crab Dip;["creme azedo","mayonnaise","Cream cheese","caranguejo","suco de limão","cebola"]
1679;Corn-Cheese Delight;["milho","sal","pimenta","açúcar","margarina","leite","queijo americano"]
1680;Salmon Loaf;["óleo vegetal","pão","salm�o","leite","ovos","suco de limão","cebolas","sal","pimenta"]
1681;Potato Casserole;["Batatas irlandesas","parkay margarina","bacon","creme azedo","queijo desfiado"]
1682;Fudgie Brownies;["manteiga","açúcar","baunilha","ovos","cacau","total  pecans"]
1683;Strawberry Cooler;["açúcar","água","limonada congelada","água"]
1684;Chicken Delight;["peitos de frango","fatias finas queijo su��o","recheio","manteiga"]
1685;Squash Casserole;["abobrinha","cebola","pimentão","tomates","sal","Queijo","croutons","queijo ralado"]
1686;Asparagus Casserole;["Creme de sopa de frango","cebola","migalhas de pão com manteiga","amêndoas","queijo cheddar"]
1687;Cinnamon Twists;["creme azedo","Sugar","encurtamento","bicarbonato de sódio","sal","invicto ovo","bolo","farinha"]
1688;Oatmeal Cookie Candy;["açúcar","leite","manteiga","sal","baunilha","manteiga de amendoim","aveia"]
1689;Three Bean Casserole;["Pinto","feijão verde congelado","açúcar mascavo","pimentão","carne de porco","Catsup","cebola","bovino mo�do"]
1690;Scripture Cake;["Farinha","manteiga","N�meros","mel","leite","jeremias","sal","cr�nicas"]
1691;German Chocolate Upside-Down Cake;["nozes","Coconut","bolo de chocolate","Queijo creme","manteiga","açúcar"]
1692;Pistachio Salad;["Cocktail de frutas","Abacaxi","Pistache","recipientes","coco flocado","marshmallows coloridos","Mandarin laranjas"]
1693;Stuffed Hot Dogs;["batatas","manteiga","queijo ralado"]
1694;Tortilla Soup;["cebola","pimentas verdes","alho","óleo vegetal","Tomates","pimentas","picante","bouillon","bouillon de frango","suco de tomate","cominho","tortillas de milho","Queijo desfiado","peitos de frango"]
1695;Pumpkin Bread;["açúcar","ovos","óleo","abóbora","farinha","Bicarbonato de sódio","sal","canela","noz-moscada","mace","nozes"]
1696;White Chip Orange Dream Cookies;["Farinha","bicarbonato de sódio","sal","manteiga","açúcar","açúcar mascavo","ovo","casca de laranja","Mormsels brancos"]
1697;Italian Style Zucchini;["Bacon","Zucchini  Tomates","Algumas cenoura","cebolas","Basil","sal de alho","Tomilho"]
1698;Cranapple Relish;["laranja","maçãs","cranberries frescas","açúcar","abacaxi","pecans"]
1699;Chicken Supreme;["carne","frango","bacon","creme de sopa de cogumelos","Sour Cream"]
1700;Shrimp With Rice;["manteiga","cebola","cogumelos","pimenta verde","arroz","noz-moscado","sal","vinho branco","água","salsa","Tomilho","bay folha","camar�o"]
1701;Date Bars;["Margarina","farinha","açúcar"]
1702;New Classic Potato Salad;["batatas","mayonnaise","picles de aneto kosher","chalota","vinagre de vinho branco","açúcar","sal","azeite","milho"]
1703;Mincemeat Cake;["bolo de cenoura","ovos","água","mincemeat","porcas"]
1704;Bourbon Balls;["Bolachas de baunilha","açúcar","cacau","nozes","coco","xarope de milho","bourbon"]
1705;Curried Chicken Rice Salad;["vinagre","óleo de salada","Curry P�","cebola","arroz branco","peitos de frango","amêndoas","Aipo","maionese","pimenta preta","Pimenta verde"]
1706;Easy Sausage Casserole;["salsicha","Great Northern feijão","arroz","verde","cebola","salsa"]
1707;Genoese Pesto;["fresco manjeric�o","alho","nozes","sal grossa","queijo parmesão","azeite virgem","massas"]
1708;Cabbage Slaw(Low Calorie);["repolho","Flocos de salsa","cenoura","talos de aipo","cebola","pacotes Substituto de açúcar","vinagre"]
1709;Fresh Strawberry Cake;["Morangos","Mistura de bolo amarelo","jello de morango"]
1710;Green Beans And Tomatoes;["feijão verde","tomates estufados italianos","Pepper"]
1711;Cauliflower With Anchovy Sauce;["Couve-flor","alho","anchova","azeite extra virgem","breadcrumbs","sal"]
1712;Rockefeller Coffee Cake;["Bolo amarelo","açúcar mascavo","farinha","manteiga","canela"]
1713;Corn Chowder;["milho","bacon","cebola","leite  batatas","sal"]
1714;Oatmeal Cookies;["encurtamento","açúcar mascavo","ovo","água","baunilha","aveia","farinha","sal","bicarbonato"]
1715;Grandma Mac'S Raisin Bran Muffins;["óleo de cozimento","açúcar","ovos","cereal","buttermilk","farinha","sal","bicarbonato de sódio"]
1716;Teriyaki Chicken Wings;["molho de soja","açúcar mascavo","alho","Gengibre � terra","pimenta","frango"]
1717;Spareribs And Sauerkraut;["Ribs","crisco","cebolas","sal","pimenta","água quente","chucrute"]
1718;Heavenly Hash Salad;["Cocktail de frutas","Abacaxi","cornstarca","açúcar","gema","porcas","marshmallows","mandarin laranjas"]
1719;Pecan Pie;["oleo","açúcar mascavo","pecans","ovos","sal","baunilha","karo branco"]
1720;Tangy Corn Salad;["milho","pimentão","Aipo","Vinagre de vinho branco","óleo vegetal","açúcar","salsa","sal","alho"]
1721;Corn Pudding;["ovos","estilo creme","açúcar","farinha","leite","manteiga","sal"]
1722;Heavenly Hamburger Dish;["encurtamento","carne moída","cebola sal","sal","queijo americano","cogumelos","muito","tomates","água","sal"]
1723;Ambrosia;["laranjas","abacaxi","coconut","banana"]
1724;Peachy Keen Nog;["baunilha","pêssegos","ovos"]
1725;Johnnycake;["Farinha","açúcar mascavo","Soda","buttermilk","amarelo corneo","sal","ovo","encurtamento"]
1726;Slaw;["cabe�a repolho","vinagre","água","mostarda seca","óleo de cozimento","cebolas","açúcar","aipo","sal"]
1727;Cheese Cake;["biscoitos","açúcar  canela","cream cheese","açúcar","ovos","baunilha","creme azedo","baunilha"]
1728;Baking Powder Biscuits;["agua"]
1729;Colonial Manor French Dressing;["vinagre","cebolas","molho de pimentão","óleo","sal","açúcar","molho de worcestershire","alho do cravo"]
1730;Mandarin Orange Cake;["Mix de bolo","cozinhar óleo","ovos","laranjas mandarim"]
1731;Chicken Curry;["peitos de frango","Farinha","Curry P�","óleo","açúcar","Bouillon de frango cubos","água","damasco","cebola","molho de soja","suco de limão"]
1732;Lasagna;["carne moída","cebola","molho de tomate","tomate pasta","tomates","vinho tinto","sal","oregano"]
1733;Meat Loaf;["bovino mo�o","pão","on","molho de worcestershire","sal","mostarda seca","pimenta","sage","ketchup","ketchup"]
1734;Hamburger Stroganoff;["Cabe�a magra","cebola","manteiga","Farinha","sal","alho","cogumelos","creme condensado","macarrão","salsinha"]
1735;Chicken Casserole;["peitos de frango","Margarina","creme de sopa de galinha","creme de aipo","Bouillon de frango"]
1736;Tomato Dip;["cream cheese","creme azedo","sopa de tomate","r�bano","cocktail franks"]
1737;Golden Catfish Fillets;["ovo","leite","refei��o de milho","faixas de gato","sal","alho p�","pimenta caiena","pimenta","óleo de cozimento"]
1738;Dilled Mushrooms;["cogumelos","manteiga","sal","vinagre","dill"]
1739;Chocolate Sour Cream Pound Cake;["ovos","margarina","crisco","açúcar","farinha","cacau","creme azedo","fermento em pó","sal","baunilha"]
1740;7 Up Cake;["manteiga","açúcar","farinha","limão","ovos"]
1741;Ice Cream;["ovos","açúcar","baunilha","leite"]
1742;Hermits;["margarina","açúcar","ovos","farinha","fermento  sal","canela","noz-moscada","bicarbonato de sódio","nuts"]
1743;Tuna Pasta Salad;["inteiros shells","nonfat iogurte","suco de limão","vinagre balsamic","endill erva","aipo","pimentão","pimenta branca","Tuna de luz","congelados","Ervilhas","Aipo","pimenta vermelha","cebola verde"]
1744;Frozen Cucumber;["Pepinos","cebola","sal","açúcar","vinagre"]
1745;Pork Roast Stuffed With Sauerkraut;["ombro de porco","chucrute  temperos"]
1746;Cauliflower And Broccoli Souflettes;["Couve-flor","brócolis","Margarina","farinha de arroz integral","Leite","Queijo amarelo","ovo","noz-moscada"]
1747;Jambalaya;["presunto","manteiga","cebola","pimenta verde","alho do cravo","tomates","água","sal","tomilho","molho de pimenta"]
1748;Baked Apples;["maçãs","n","canela","passas","água"]
1749;One Dish Chicken Dinner;["Frango","batatas","cenouras","caldo de frango","sal","feijão verde fresco"]
1750;Baked Cabbage;["cabe�a repolho","açúcar","farinha","doce creme","sal","pimenta","bacon"]
1751;Breakfast Casserole;["Bulk salsicha","erva croutons","queijo cheddar","cogumelos frescos","leite","ovos","creme de sopa de cogumelos","mostarda"]
1752;Sooo Easy-Apple Cake;["ovos","Sugar","baunilha","Apples descascados","óleo vegetal","nozes","farinha","bicarbonato de sódio","canela","tsp.salt"]
1753;Pickled Beets And Eggs;["beterrabas","açúcar mascavo","vinagre","água fria","sal","canela","cravo","ovos","açúcar"]
1754;Everyday Meat Loaf;["cracker migalhas","Leite","carne moída","ovos","cebola","sal","pimenta","sage","açúcar mascavo","- mostarda seca"]
1755;30 Minute Chocolate Cake;["Margarina","Cacau","água","farinha","açúcar","ovos","buttermilk","Soda","baunilha"]
1756;Salsa Fresca;["tomate","cebola","jalapenos","molho de tomate","sal","cilantro","cominho � terra"]
1757;My Sisters Banana Bread;["açúcar","Bananas","Farinha","bicarbonato de sódio","fermento","baunilha","óleo","ovos","nozes"]
1758;Macaroni Cheddar Salad;["óleo vegetal","vinagre de vinho","água","Mayonnaise","Aipo","Mostarda","molho de worcestershire","pimenta verde","pimentão","sal","sal","Queijo Cheddar","cebola"]
1759;Veggie Pizza;["Crescent Rolls","Cream Cheese","Miracle","brócolis  Couve-flor","pimentas vermelhas","cenouras","rabanetes","mussarela"]
1760;Pumpkin Pie Crunch(Even Those Who Don'T Like Pumpkin Pie Like This!);["Bolo amarelo","açúcar","sal","margarina","abóbora","ovos","torta de abóbora spice","nozes"]
1761;Sweet Potato Cake;["manteiga","açúcar","ovos","batatas","baunilha","noz-moscada","canela","farinha","nozes","coconut"]
1762;Arkansas Cheese Ball;["Velveeta Queijo","Cream Cheese","Rolo Alho","Rolo Queijo defumado","alho","mostarda seca","r�bano","porcas","paprika"]
1763;Apple Nut Ring;["Buttermilk","açúcar","canela","manteiga","maçãs","porcas","passas"]
1764;Chicken Salad;["frango","estales de aipo","uvas verdes","plantadoras amêndoas fumadas","sal","pimenta","mayonnaise","creme azedo"]
1765;London Broil;["steak flanco","xerez","molho de soja","açúcar","sal","canela"]
1766;Delicious Pea And Bean Soup;["presunto","ervilhas","água","cebola","cenouras","batata","aipo","marjoram","sal"]
1767;Scalloped Corn;["milho","milho de estilo creme","creme azedo","ovo","leite","pão de milho"]
1768;Easy Hamburger Stroganoff;["Beef Ground","Cebola","Farinha","sal","alho sal","pimenta","cogumelo hastes","creme de sopa de galinha","macarrão de ovo"]
1769;Mock Pecan Or Pinto Bean Pie;["ovos","margarina","coco","açúcar","baunilha","feij�es de pinto","shell da torta"]
1770;Chocolate Cake;["açúcar","ovos","encurtando","caf� frio","cacau","farinha","fermento","baunilha","água fervente"]
1771;Scalloped Corn;["milho de estilo creme","sal","pimentada","biscoitos","manteiga"]
1772;One Punch Pineapple Punch;["suco de abacaxi","damasco n�ctar","clube refrigerante","abacaxi sherbet"]
1773;Hot Chicken Salad;["frango","ovos","creme de sopa de galinha","Aipo","amêndoas","sal","suco de limão","mayonnaise","batata frita"]
1774;8 Pound Golden Fruit Cake;["Buffed passas","Currants","figos","citron","cerejas c�ndidas","abacaxi","casca de limão","casca de laranja","pecans","shortening  canela","Farinha de bolo","leite doce","gel�ia de luz","fermento em pó","baunilha","sal","amarelo claro"]
1775;White Clam Sauce;["óleo de oliva","alho","moluscos","clam suco","pimenta","salsa","linguina"]
1776;Jello Salad;["água","Abacaxi","Nozes","Dream Chicote","Morango Jello","Bananas","Morangos congelados","Cream Cheese"]
1777;Aunt Mamie'S Tomato Relish(Good To Put On Vegetables);["tomates","vinagre","pimentas","cebolas","açúcar","sal","canela"]
